group_key,scaffold_group,split,source
RGCLLPNLLBQHPF,__ACYCLIC__RGCLLPNLLBQHPF,train,WUR
RHVBIEJVJWNXBU,O=C1CC[C@H]2[C@@H](CC[C@@H]3[C@@H]2CCC2CCC[C@H]23)C1,valid,WUR
RJBJMKAMQIOAML,c1ccccc1,train,WUR
RJMIEHBSYVWVIN,O=C1c2ccccc2CN1c1ccccc1,test,WUR
RMFNNCGOSPBBAD,c1ccccc1,train,WUR
RMOGWMIKYWRTKW,c1ccc(CCn2cncn2)cc1,train,WUR
RNVCVTLRINQCPJ,c1ccccc1,train,WUR
ROVGZAWFACYCSP,O=C1C=C[C@@H](OC(=O)C2CC2)C1,train,WUR
RQDJADAKIFFEKQ,c1ccc(CCC(Cn2cncn2)c2ccccc2)cc1,test,WUR
RQVGAIADHNPSME,O=c1[nH]nnc2ccccc12,valid,WUR
RQZAXGRLVPAYTJ,O=C1C=C2C=C[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1,valid,WUR
RROQIUMZODEXOR,C1CNCCN1,test,WUR
RRVIAQKBTUQODI,c1ccc2scnc2c1,train,WUR
RSIHSRDYCUFFLA,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,train,WUR
RWCCWEUUXYIKHB,O=C(c1ccccc1)c1ccccc1,train,WUR
RYAUSSKQMZRMAI,c1ccc(CCCN2CCOCC2)cc1,valid,WUR
RYVIXQCRCQLFCM,c1cnc(Oc2cccc(Oc3ncccn3)c2)nc1,train,WUR
RZILCCPWPBTYDO,c1ccccc1,train,WUR
RZVAJINKPMORJF,c1ccccc1,train,WUR
SAPGTCDSBGMXCD,c1ccc(C(c2ccccc2)c2cncnc2)cc1,train,WUR
SBDNJUWAMKYJOX,c1ccc(Nc2ccccc2)cc1,train,WUR
SBUJHOSQTJFQJX,C1CC[C@@H](O[C@@H]2CCC[C@H](O[C@@H]3CCCCO3)C2)OC1,test,WUR
SCCDDNKJYDZXMM,c1ccccc1,train,WUR
SDMSCIWHRZJSRN,c1ccc(-c2ccno2)cc1,valid,WUR
SHCRDCOTRILILT,O=C1C=C[C@@H](OC(=O)C2CC2)C1,train,WUR
SLCGUGMPSUYJAY,O=C(Nc1ccccc1)c1ccccc1,train,WUR
SMWDFEZZVXVKRB,c1ccc2ncccc2c1,train,WUR
SOUGWDPPRBKJEX,c1ccccc1,train,WUR
STECJAGHUSJQJN,O=C(Cc1ccccc1)O[C@H]1C[C@@H]2N[C@H](C1)[C@H]1O[C@H]12,test,WUR
STJLVHWMYQXCPB,c1ccc(C2(Cn3cncn3)OCCO2)cc1,train,WUR
STJMRWALKKWQGH,c1ccccc1,train,WUR
STMIIPIFODONDC,c1ccc(CCn2cncn2)cc1,train,WUR
SUBWVHAACKTENX,O=C1CCC[C@@H](O[C@H]2CCCCO2)CCC[C@@H](O[C@H]2CCCCO2)C=CC=CCCO1,train,WUR
SYJGKVOENHZYMQ,O=S(=O)(Nc1nc2ccncn2n1)c1ccccc1,valid,WUR
SZINUGQCTHLQAZ,O=C1C=C[C@@H]2[C@H]3c4c[nH]c5cccc(c45)C[C@H]3CN12,valid,WUR
TUBQDCKAWGHZPF,c1ccc2scnc2c1,train,WUR
TVLSRXXIMLFWEO,O=C(NCCOc1ccccc1)n1ccnc1,test,WUR
TWFZGCMQGLPBSX,c1ccc2[nH]cnc2c1,train,WUR
TWHBYJSVDCWICV,O=C1COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CN1,train,WUR
TYMLOMAKGOJONV,c1ccccc1,train,WUR
UAFDGCOOJPIAHN,O=S(=O)(c1ccccc1)c1ccc2nc[nH]c2c1,train,WUR
UBCHPRBFMUDMNC,C1C2CC3CC1CC(C2)C3,test,WUR
UBCKGWBNUIFUST,c1ccccc1,train,WUR
UDCDOJQOXWCCSD,c1ccccc1,train,WUR
UDKABVSQKJNZBH,C=C1CC2CC[C@@H]3C4CCC(=O)C=C4C=C[C@H]3[C@@H]2C1,test,WUR
UELITFHSCLAHKR,c1ccc2snnc2c1,valid,WUR
UFEODZBUAFNAEU,N=C(C1=NOCCO1)c1ccccc1Oc1cc(Oc2ccccc2)ncn1,train,WUR
UFFBMTHBGFGIHF,c1ccccc1,train,WUR
UFNOUKDBUJZYDE,c1ccc(C(CC2CC2)Cn2cncn2)cc1,valid,WUR
UIOFUWFRIANQPC,O=C(N[C@@H]1C(=O)N2CCS[C@H]12)c1conc1-c1ccccc1,test,WUR
ULSLJYXHZDTLQK,O=c1oc2ccccc2cc1C1CCCc2ccccc21,test,WUR
UQCSETXJXJTMKO,O=C1COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CN1,train,WUR
URDNHJIVMYZFRT,c1ccc(CCn2cncn2)cc1,train,WUR
UREBDLICKHMUKA,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,train,WUR
USRKFGIXLGKMKU,c1ccc2scnc2c1,train,WUR
UTOHZQYBSYOOGC,O=c1[nH][nH]cc1-c1ccccc1,train,WUR
UURAUHCOJAIIRQ,O=C1CC[C@]23CCCCCC(CCC2)[C@H]13,valid,WUR
UVBUBMSSQKOIBE,__ACYCLIC__UVBUBMSSQKOIBE,test,WUR
UWVQIROCRJWDKL,O=C1OCCN1Nc1ccccc1,test,WUR
UWYHMGVUTGAWSP,O=C(N[C@@H]1C(=O)N2CCS[C@H]12)c1conc1-c1ccccc1,test,WUR
VACCAVUAMIDAGB,O=S(=O)(Nc1nncs1)c1ccccc1,valid,WUR
VAOCPAMSLUNLGC,c1c[nH]cn1,train,WUR
VBCVPMMZEGZULK,O=C(Nc1ccccc1)N1COC2Cc3ccccc3C2=N1,test,WUR
VEQOALNAAJBPNY,O=c1cc[nH]n1-c1ccccc1,test,WUR
VEVZCONIUDBCDC,c1ccc(Cc2cncnc2)cc1,test,WUR
VGHPMIFEKOFHHQ,O=S(=O)(Nc1ccccc1)c1nc2ncccn2n1,test,WUR
VHCNQEUWZYOAEV,O=c1[nH]cnnc1-c1ccccc1,train,WUR
VHRSUDSXCMQTMA,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,train,WUR
VJYFKVYYMZPMAB,__ACYCLIC__VJYFKVYYMZPMAB,train,WUR
VLTNWNUPWHBSQY,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,train,WUR
VLYWMPOKSSWJAL,O=S(=O)(Nc1cccnn1)c1ccccc1,test,WUR
VNENJHUOPQAPAT,c1ccc2[nH]c(-c3cscn3)nc2c1,train,WUR
VNKBTWQZTQIWDV,O=c1[nH]c2ncccc2o1,train,WUR
VOEYXMAFNDNNED,c1ccccc1,train,WUR
VOWAEIGWURALJQ,O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1,valid,WUR
VTFZEBCYVXMEBB,c1ccccc1,train,WUR
VTNQPKFIQCLBDU,c1ccccc1,train,WUR
VUTHWSUXEOILTN,c1ccccc1,train,WUR
VWUXBMIQPBEWFH,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,valid,WUR
VXTGHWHFYNYFFV,c1ccc2[nH]cnc2c1,train,WUR
VZFRNCSOCOPNDB,C1CCNC1,valid,WUR
WAIJIHDWAKJCBX,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,train,WUR
WFDXOXNFNRHQEC,c1ccc(Oc2cc(Oc3ccccc3)ncn2)cc1,valid,WUR
WFKSADNZWSKCRZ,c1ccccc1,train,WUR
WFTHOCDLKYPFJX,c1ccccc1,train,WUR
WINHLTQNRABBSW,O=C(c1ccccc1)c1ccc2nc[nH]c2c1,test,WUR
WJCNZQLZVWNLKY,c1ccc2[nH]c(-c3cscn3)nc2c1,train,WUR
WKEDVNSFRWHDNR,O=C(Nc1ccccc1)c1ccccc1,train,WUR
WKGKFWXGAHXMCE,c1ccccc1,train,WUR
WLFDQEVORAMCIM,c1ccccc1,train,WUR
WPCVRWVBBXIRMA,O=C1OCCc2c1c(=O)oc1c3c(ccc21)O[C@H]1OCC[C@@H]31,valid,WUR
WRPIRSINYZBGPK,c1ccc(Oc2ccnc3ccccc23)cc1,train,WUR
WTPBIYSMFKUQKY,c1ccc2[nH]cnc2c1,train,WUR
WURBVZBTWMNKQT,c1ccc(OCn2cncn2)cc1,test,WUR
WURGXGVFSMYFCG,c1ccccc1,train,WUR
WVLAAKXASPCBGT,O=c1[nH]c(=O)c2c(ncn2CCCNCCc2ccccc2)[nH]1,valid,WUR
WVQBLGZPHOPPFO,c1ccccc1,train,WUR
WWYNJERNGUHSAO,O=C1C=C2CC[C@@H]3[C@H](CCC4CCC[C@H]43)[C@H]2CC1,valid,WUR
WXURHACBFYSXBI,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,train,WUR
WXZVAROIGSFCFJ,c1ccc2ccccc2c1,train,WUR
WYEHFWKAOXOVJD,O=C(Nc1ccccc1)c1cccnc1Oc1ccccc1,valid,WUR
WYEMLYFITZORAB,O=C(Nc1ccccc1-c1ccccc1)c1cccnc1,train,WUR
WYKYKTKDBLFHCY,O=c1cccnn1-c1ccccc1,valid,WUR
WYMSBXTXOHUIGT,c1ccccc1,train,WUR
WYVVKGNFXHOCQV,__ACYCLIC__WYVVKGNFXHOCQV,test,WUR
XCGSFFUVFURLIX,O=C(NC1OC2[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2NC1,train,WUR
XCSGPAVHZFQHGE,c1ccccc1,train,WUR
XDNBJTQLKCIJBV,c1ccccc1,train,WUR
XIXHUNCZQIRQOG,c1ccc(CNC2CCCC2)cc1,train,WUR
XKJMBINCVNINCA,c1ccccc1,train,WUR
XLDBGFGREOMWSL,C(=Nc1ccccc1)=Nc1ccccc1,test,WUR
XMJFVIGTHMOGNZ,C1CCOCC1,valid,WUR
XMTQQYYKAHVGBJ,c1ccccc1,train,WUR
XNKARWLGLZGMGX,c1ccccc1,train,WUR
XOXHILFPRYWFOD,O=S(=O)(Nc1cccnn1)c1ccccc1,test,WUR
XOZLRRYPUKAKMU,O=c1cc[nH]n1-c1ccccc1,test,WUR
XQYZDYMELSJDRZ,c1ccc(Cc2nccc3ccccc23)cc1,test,WUR
XQZXYNRDCRIARQ,c1ccccc1,train,WUR
XVOKUMIPKHGGTN,O=C1CN=C(c2ccccn2)N1,test,WUR
XVPBINOPNYFXID,O=C1CCC[C@@H]2[C@H]3CCC[NH+]4CCC[C@@H](CN12)[C@@H]34,train,WUR
XWALNWXLMVGSFR,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,train,WUR
XWIYFDMXXLINPU,O=C1OCCc2c1c(=O)oc1c3c(ccc21)O[C@H]1OC=C[C@@H]31,valid,WUR
XWMMHXRGYYPFAV,c1ccccc1,train,WUR
XWTYSIMOBUGWOL,c1ccccc1,train,WUR
YBBLVLTVTVSKRW,c1ccc(Cn2cncn2)cc1,valid,WUR
YEZNLOUZAIOMLT,c1ccc(Nc2ccccc2)cc1,train,WUR
YFAGHNZHGGCZAX,O=C(N[C@@H]1C(=O)N2CCS[C@H]12)c1conc1-c1ccccc1,test,WUR
YFBPRJGDJKVWAH,c1ccccc1,train,WUR
YFGYUFNIOHWBOB,c1cncnc1,train,WUR
YKBZOVFACRVRJN,C1CCOC1,train,WUR
YKKQAXQGZIBJFS,c1ccccc1,train,WUR
YOSHYTLCDANDAN,O=C1N(Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C=NC12CCCC2,valid,WUR
YOUGRGFIHBUKRS,c1ccccc1,train,WUR
YOWNVPAUWYHLQX,O=C(NC(=O)c1ccccc1)Nc1cccc(Oc2ccccn2)c1,test,WUR
YQIGLEFUZMIVHU,__ACYCLIC__YQIGLEFUZMIVHU,test,WUR
YREQHYQNNWYQCJ,c1ccc(CCOCc2cccc(Oc3ccccc3)c2)cc1,valid,WUR
YUAUPYJCVKNAEC,c1ccc(N=c2[nH]ccs2)cc1,valid,WUR
YWBVHLJPRPCRSD,O=c1c(-c2ccccc2)c[nH]cc1-c1ccccc1,train,WUR
YWTYJOPNNQFBPC,N=C1NCCN1Cc1cccnc1,valid,WUR
YXALYBMHAYZKAP,O=C(OCC1CCC2OC2C1)C1CCC2OC2C1,test,WUR
YYJNOYZRYGDPNH,C(=N\OCc1ccccc1)/c1cn[nH]c1Oc1ccccc1,test,WUR
ZACLXWTWERGCLX,C=C1C2CC[C@H]1O[C@@H]1C=CC(=O)CC21,valid,WUR
ZCJPOPBZHLUFHF,c1ccccc1,train,WUR
ZCTYHONEGJTYQV,c1ccccc1,train,WUR
ZDHCJEIGTNNEMY,O=C1C=C2CC[C@@H]3[C@H](CCC4CCC[C@H]43)[C@H]2CC1,valid,WUR
ZDHYERRNXRANLI,c1ccccc1,train,WUR
ZEGLQSKFSKZGRO,C1CCOCC1,valid,WUR
ZISFCTXLAXIEMV,O=C(NCc1ccccc1)c1ccccc1,valid,WUR
ZKLXUUYLEHCAMF,C1=C[C@@H]2Oc3cccc4c3[C@@]23CCN[C@H](C4)C3=C1,train,WUR
ZLIBICFPKPWGIZ,c1ccc(Nc2ncccn2)cc1,train,WUR
ZNOLGFHPUIJIMJ,c1ccccc1,train,WUR
ZNRZGJAHNMGWQN,c1ccccc1,train,WUR
ZOGDSYNXUXQGHF,O=C1C=CCC(c2ccccc2)C1,test,WUR
ZPUCINDJVBIVPJ,O=C(O[C@@H]1C[C@H]2CC[C@@H](C1)N2)c1ccccc1,test,WUR
ZQEIXNIJLIKNTD,c1ccccc1,train,WUR
ZRVUJXDFFKFLMG,O=C(Nc1nccs1)C1=Cc2ccccc2S(=O)(=O)N1,train,WUR
ZTMKADLOSYKWCA,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,test,WUR
ZXDDPOHVAMWLBH,O=C(c1ccccc1)c1ccccc1,train,WUR
ZXSWTMLNIIZPET,O=C1C=C2CC[C@@H]3[C@H](CCC4CCC[C@H]43)[C@H]2CC1,valid,WUR
ZYGHJZDHTFUPRJ,O=c1ccc2ccccc2o1,train,WUR
ZZYSLNWGKKDOML,O=C(NCc1ccccc1)c1ccn[nH]1,train,WUR
