connectivity_key,smiles,adduct,scaffold_group,in_lcsb_dev,in_lcsb_sealed,side,n_source_rows,source_libraries
CMRJPMODSSEAPL,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C,[M+H]+,O=C1C=C2CC[C@@H]3C(=C2CC1)C=CC1CCC[C@H]13,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CMWTZPSULFXXJA,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,[M+H]+,c1ccc2ccccc2c1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CNFMJLVJDNGPHR,CC(C)(C)C(O)C(=C/C1CCCCC1)\N1C=NC=N1,[M+H]+,C(=C\n1cncn1)/C1CCCCC1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
COHUFMBRBUPZPA,C[C@]1(O)C(=O)OCC2=CC[N+]3([O-])CC[C@@H](OC(=O)/C(CC1=C)=C/C)[C@@H]23,[M+H]+,C=C1CC(=C)C(=O)O[C@@H]2CC[NH+]3CC=C(COC(=O)C1)[C@H]23,False,False,WUR-SEALED,24,WFSR_food_safety;WUR
COYBRKAVBMYYSF,CCCCCC(C)OC(=O)COC1=CC=C(Cl)C2=CC=CN=C12,[M+H]+,c1ccc2ncccc2c1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
CPCRJSQNWHCGOP,CCCC[C@@H](C)[C@@H](OC(=O)CC(CC(O)=O)C(O)=O)[C@H](C[C@@H](C)C[C@H](O)CCCCCC[C@@H](O)[C@H](C)N)OC(=O)CC(CC(O)=O)C(O)=O,[M+H]+,__ACYCLIC__CPCRJSQNWHCGOP,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
CPEUVMUXAHMANV,COC(=O)NC1=NC2=CC=C(C=C2N1)C(=O)C1=CC=C(F)C=C1,[M+H]+,O=C(c1ccccc1)c1ccc2nc[nH]c2c1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CQCJCAJOWSRHSH,C1CCC(CC1)NCC(C2=CC(=C(C(=C2)Cl)N)Cl)O,[M+H]+,c1ccc(CCNC2CCCCC2)cc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
CQIUKKVOEOPUDV,C[C@H]1OC=C2C(O)=C(C(O)=O)C(=O)C(C)=C2[C@@H]1C,[M+H]+,O=C1C=CC2=COCCC2=C1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CRDKSBHJIGNEOH,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2([H])CC(=O)CC[C@]12[H],[M+H]+,O=C1CC[C@H]2C(CC[C@@H]3[C@@H]2CCC2C(=O)CC[C@H]23)C1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
CSMYCLLHRFFFLG,C1=CC2=C(C(=C1)O)C(=CN2)CC(=NOS(=O)(=O)O)S[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,[M+H]+,N=C(Cc1c[nH]c2ccccc12)S[C@H]1CCCCO1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CSWIKHNSBZVWNQ,CCOCCN(C(=O)CCl)C(=C(C)C)C1=CC=CC=C1,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CTSLUCNDVMMDHG,CCC(C)N1C(=O)NC(C)=C(Br)C1=O,[M+H]+,O=c1cc[nH]c(=O)[nH]1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
CULUKMPMGVXCEI,[H][C@@]12CN(C)C[C@@]([H])(C1)C1=CC=CC(=O)N1C2,[M+H]+,O=c1cccc2n1C[C@@H]1CNC[C@H]2C1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CWFCYVRIWJMEIN,[H][C@@]1(C[C@]2([H])O[C@@]3(CC[C@]4(O3)O[C@@H](CC=C4)\C=C\CCC(O)=O)[C@@H](C)C[C@]2([H])O1)[C@H](O)[C@@]1(O)CC[C@H](C)[C@]([H])(O1)C(=C)C[C@@]12C[C@H](C)C[C@@]([H])(O1)[C@]1([H])O[C@@]3(C[C@]1([H])O2)NC[C@@H](C)C[C@H]3C,[M+H]+,C=C(C[C@@]12CCC[C@@H](O1)[C@@H]1O[C@@]3(CCCCN3)C[C@@H]1O2)[C@@H]1CCCC(C[C@H]2C[C@@H]3O[C@]4(CC[C@@H]3O2)CC[C@]2(C=CCCO2)O4)O1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CWFOCCVIPCEQCK,CCOCN1C(=C(C#N)C(Br)=C1C(F)(F)F)C1=CC=C(Cl)C=C1,[M+Na]+,c1ccc(-c2ccc[nH]2)cc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CXBMCYHAMVGWJQ,CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,[M+H]+,O=C(OCN1C(=O)C2=C(CCCC2)C1=O)C1CC1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CXEGAUYXQAKHKJ,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@H](NC)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,[M+H]+,O=C1O[C@H]2C[C@@H](CC=C[C@@H](O[C@H]3CC[C@@H](O[C@H]4CCCCO4)CO3)C/C=C/C=C3\CO[C@@H]4CC=C[C@@H]1C34)O[C@@]1(C=CCCO1)C2,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
CXJSOEPQXUCJSA,CCOP(=S)(OCC)OC1=NN(C(=O)C=C1)C1=CC=CC=C1,[M+H]+,O=c1cccnn1-c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CYQFCXCEBYINGO,[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=CC(CCCCC)=CC(O)=C21,[M+H]+,C1=C[C@H]2c3ccccc3OC[C@@H]2CC1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
CZQLULNMKQAIQL,CN1CC[C@H]2OC(=O)[C@@]3(C[C@@H](C)[C@@](C)(O)C(=O)OCC(=CC1)C2=O)O[C@H]3C,[M+H]+,O=C1CCC[C@]2(CO2)C(=O)O[C@@H]2CCNCC=C(CO1)C2=O,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DAVNRFCJMIONPO,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C=C(CO)CN2C,[M+H]+,C1=C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2NC1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DBXFMOWZRXXBRN,COC(=O)CC(NC(=O)[C@@H](NC(=O)OC(C)C)C(C)C)C1=CC=C(Cl)C=C1,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DCOPUUMXTXDBNB,OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1,[M+H]+,c1ccc(Nc2ccccc2)cc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DDUHZTYCFQRHIY,COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC,[M+H]+,O=C1C=C[C@]2(CC1)Oc1ccccc1C2=O,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DDUIUBPJPOKOMV,COCCCNC1=NC(NC(C)C)=NC(SC)=N1,[M+H]+,c1ncncn1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DECIPOUIJURFOJ,CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1,[M+H]+,C1=Cc2ccccc2NC1,True,True,WUR-SEALED,12,WFSR_food_safety;WUR
DEDOPGXGGQYYMW,CCSC(=O)N1CCCCCC1,[M+H]+,C1CCCNCC1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DEQITUUQPICUMR,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=C5C(=CC=C6)[C@@]4([H])C3)(O[C@@]21O)C(C)C,[M+H]+,O=C(NC1OC2[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O)[C@H]1CN[C@@H]2Cc3c[nH]c4cccc(c34)[C@H]2C1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DETLTZYXZWIXIB,CC1(C)NC2=CC=CC3=CC=CC(N1)=C23,[M+H]+,c1cc2c3c(cccc3c1)NCN2,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DFCAFRGABIXSDS,CCSC(=O)N(CC)C1CCCCC1,[M+H]+,C1CCCCC1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DFFWZNDCNBOKDI,OC(=O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1,[M+H]+,O=C1CCCC(=O)C1=CC1CC1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DHNRXBZYEKSXIM,CN1SC(Cl)=CC1=O,[M+H]+,O=c1ccs[nH]1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DHQKLWKZSFCKTA,FC(F)(F)C(=O)\N=C1/C=CC=CN1CC1=CC=C(Cl)N=C1,[M+H]+,N=c1ccccn1Cc1cccnc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DIAQQISRBBDJIM,CO[C@@H](CC1=CC=CC=C1)[C@@H](C)\C=C(/C)\C=C\[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)[C@@H](NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]1C)C(O)=O)C(O)=O,[M+H]+,C=C1NC(=O)CCCNC(=O)C[C@H](/C=C/C=C/CCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)CNC(=O)CNC1=O,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DIRFUJHNVNOBMY,CCC(C)C1=CC=CC=C1OC(=O)NC,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DKFLKXDTRUWFDL,NC1=C(Cl)C=C(C=C1Cl)C(O)CNC1CCC(O)CC1,[M+H]+,c1ccc(CCNC2CCCCC2)cc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DKNWSYNQZKUICI,NC12CC3CC(CC(C3)C1)C2,[M+H]+,C1C2CC3CC1CC(C2)C3,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DKYWVDODHFEZIM,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,[M+H]+,O=C(c1ccccc1)c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DLAPIMGBBDILHJ,COP(=S)(OC)OC1=CC(C)=C(C=C1)S(C)=O,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DLFIWYTWQFOSEM,CCCOC(=O)NCCCNC,[M+H]+,__ACYCLIC__DLFIWYTWQFOSEM,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DLNWZIVYKQXLTN,C[C@@H](O)[C@](O)(C(=O)OC[C@@H]1CC[N+]2([O-])CCC[C@@H]12)C(C)C,[M+H]+,C1CC2CCC[NH+]2C1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DMBHHRLKUKUOEG,N(C1=CC=CC=C1)C1=CC=CC=C1,[M+H]+,c1ccc(Nc2ccccc2)cc1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
DMJNNHOOLUXYBV,[H][C@]1([C@@H](C)O)C(=O)N2C(C(O)=O)=C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)[C@H](C)[C@]12[H],[M+H]+,O=C1C[C@H]2CC(S[C@H]3CCNC3)=CN12,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DMSMPAJRVJJAGA,O=C1NSC2=C1C=CC=C2,[M+H]+,O=c1[nH]sc2ccccc12,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DMYHGDXADUDKCQ,CC(C)(C)C1=CC=C(CCOC2=NC=NC3=C2C=CC=C3)C=C1,[M+H]+,c1ccc(CCOc2ncnc3ccccc23)cc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DNAWGBOKUFFVMB,C[C@@H](O)[C@@](O)(C(C)C)C(=O)OCC1=CC[N+]2([O-])CC[C@@H](O)[C@@H]12,[M+H]+,C1=C[C@@H]2CCC[NH+]2C1,False,False,WUR-SEALED,60,WFSR_food_safety;WUR
DNDNWOWHUWNBCK,[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)SC(CC1=CNC2=CC=CC=C12)=NOS(O)(=O)=O,[M+H]+,N=C(Cc1c[nH]c2ccccc12)S[C@H]1CCCCO1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DOIRQSBPFJWKBE,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,[M+H]+,c1ccccc1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
DOLQYFPDPKPQSS,CC1=CC=C(N)C=C1C,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DPJCXCZTLWNFOH,NC1=CC=CC=C1[N+]([O-])=O,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DPSPPJIUMHPXMA,CC1CCC2=CC(F)=CC3=C2N1C=C(C(O)=O)C3=O,[M+H]+,O=c1ccn2c3c(cccc13)CCC2,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DQFPEYARZIQXRM,CCON=C(CC)C1=C(O)CC(CC1=O)C1=C(C)C=C(C)C=C1C,[M+H]+,O=C1C=CCC(c2ccccc2)C1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DQJCHOQLCLEDLL,CC1=C2N3C=NN=C3SC2=CC=C1,[M+H]+,c1ccc2c(c1)sc1nncn12,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DRLFMBDRBRZALE,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,[M+H]+,c1ccc2[nH]ccc2c1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DSKJPMWIHSOYEA,CCCCC1=C(OS(=O)(=O)N(C)C)N=C(NCC)N=C1C,[M+H]+,c1cncnc1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
DSRNRYQBBJQVCW,COC1=C(Cl)C=C(NC(=O)N(C)C)C=C1,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DTAPQAJKAFRNJB,CNC(=O)OC1=CC(=CC(C)=C1)C(C)C,[M+H]+,c1ccccc1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
DTDSAWVUFPGDMX,CCC(C)(C)C(=O)OC1=C(C(=O)OC11CCCCC1)C1=CC=C(Cl)C=C1Cl,[M+H]+,O=C1OC2(C=C1c1ccccc1)CCCCC2,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DTHPMNDYKOSVFR,CN1C(=CN=C1C(C)(C)O)[N+]([O-])=O,[M+H]+,c1c[nH]cn1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DTRCGMNODLDAAK,C[C@H]1CN=C2CCCC(=C)C[C@@H]3CC[C@@](C)(O)[C@]4(CC(O)C[C@@]5(CC[C@@H](CC\C(C)=C\[C@H]6C(C)=C(CC[C@]26C[C@@H]1C)[C@H]1OC(=O)C(C)=C1)O5)O4)O3,[M+H]+,C=C1CCCC2=NCCCC[C@@]23CCC([C@@H]2C=CC(=O)O2)=C[C@@H]3/C=C/CC[C@@H]2CC[C@@]3(CCC[C@]4(CCC[C@@H](C1)O4)O3)O2,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DUEPRVBVGDRKAG,CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2,[M+H]+,c1ccc2c(c1)CCO2,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
DUFVKSUJRWYZQP,CCOP(=O)(SC(C)CC)N1CCSC1=O,[M+H]+,O=C1NCCS1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
DUOHVNSMLSPTMI,CC1=NC=C(N1CCCO)[N+]([O-])=O,[M+H]+,c1c[nH]cn1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DVBUIBGJRQBEDP,CNC(=O)C1=CC(=CC(C)=C1NC(=O)C1=CC(Br)=NN1C1=NC=CC=C1Cl)C#N,[M+H]+,O=C(Nc1ccccc1)c1ccnn1-c1ccccn1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DVOODWOZJVJKQR,CC(C)(C)C1=NN(C(=O)O1)C1=C(Cl)C=C(Cl)C(OCC#C)=C1,[M+NH4]+,O=c1ocnn1-c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DVXZVCNEGRKLMW,CC1=C[C@@H](C2=C(C)[C@@H]3/C=C(\C)[C@@H](O)CC[C@@H]4C[C@@H](C)[C@@H](O4)/C(C)=C/CCC4=NCCC[C@@]43CC2)OC1=O,[M+H]+,O=C1C=C[C@@H](C2=C[C@@H]3C=CCCC[C@@H]4CC[C@H](/C=C/CCC5=NCCC[C@@]53CC2)O4)O1,False,False,WUR-DEV,6,WFSR_Polar
DWFZBUWUXWZWKD,CC(C)(C)N1N=CC(SCC2=CC=C(C=C2)C(C)(C)C)=C(Cl)C1=O,[M+H]+,O=c1cc(SCc2ccccc2)cn[nH]1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
DWRKFAJEBUWTQM,CCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,[M+H]+,c1ccc(C2(Cn3cncn3)OCCO2)cc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DWSPRBSLSXQIEJ,CN1N=C(C)C(C(=O)C2=C(C=C(C=C2)C(F)(F)F)S(C)(=O)=O)=C1O,[M+H]+,O=C(c1ccccc1)c1cn[nH]c1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DWTTZBARDOXEAM,C[C@H]1CCC[C@@H](O)CCCCCC2=CC(O)=CC(O)=C2C(=O)O1,[M+H]+,O=C1OCCCCCCCCCCc2ccccc21,False,False,WUR-SEALED,24,WFSR_food_safety;WUR
DWZSTEUTHNUVQD,CCOP(=S)(OCC)SCS(=O)(=O)C(C)(C)C,[M+NH4]+,__ACYCLIC__DWZSTEUTHNUVQD,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DXGLGDHPHMLXJC,COC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1,[M+H]+,O=C(c1ccccc1)c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
DZUPKTNAUCDVTL,CCOP(=O)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
FAUAZXVRLVIARB,C(C1CO1)N(CC1CO1)C1=CC=C(CC2=CC=C(C=C2)N(CC2CO2)CC2CO2)C=C1,[M+H]+,c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
FBOUIAKEJMZPQG,CC(C)(C)C(O)C(=C/C1=C(Cl)C=C(Cl)C=C1)\N1C=NC=N1,[M+H]+,C(=C\n1cncn1)/c1ccccc1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
FCOAHACKGGIURQ,CC(C)OP(=O)(OC(C)C)SCC1=CC=CC=C1,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
FEMZDTCUQKSHTJ,C[C@]1(O)C(=O)OCC2=CC[N+]3([O-])CC[C@@H](OC(=O)[C@@](O)(CO)[C@H](C)[C@H]1C)[C@@H]23,[M+H]+,O=C1CCCCC(=O)O[C@@H]2CC[NH+]3CC=C(CO1)[C@H]23,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
FEVBMCJUKWWWBT,[H][C@]1(NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@@H](C)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]1C)C(O)=O)C(O)=O)\C=C\C(\C)=C\[C@H](C)[C@H](CC1=CC=CC=C1)OC,[M+H]+,C=C1NC(=O)CCCNC(=O)C[C@H](/C=C/C=C/CCCc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)CCNC(=O)CNC(=O)CNC1=O,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
FEWPCPCEGBPTAL,NC1=C(Cl)C(=O)NN=C1,[M+H]+,O=c1cccn[nH]1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
FFCCBBNQPIMUJI,CC1=CC(=C(C=C1)C(=O)OC)C2=NC(C(=O)N2)(C)C(C)C,[M+H]+,O=C1CN=C(c2ccccc2)N1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
FFGPTBGBLSHEPO,NC(=O)N1c2ccccc2C=Cc2ccccc21,[M+H]+,C1=Cc2ccccc2Nc2ccccc21,True,False,WUR-DEV,12,ETE;WUR
FFQPZWRNXKPNPX,CCC(OC1=CC(=C(F)C=C1)C(F)(F)F)C(=O)NCC1=CC=CC=C1,[M+H]+,O=C(COc1ccccc1)NCc1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
FFSSWMQPCJRCRV,OC(=O)C1=C(Cl)C=CC2=CC(Cl)=CN=C12,[M+H]+,c1ccc2ncccc2c1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
FHIVAFMUCKRCQO,CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C,[M+H]+,c1cncnc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
FIKQKGFUBZQEBL,[H][C@@]1(OC2N=C(C3=CC=CC=C3)C3=C(NC2=O)C=CC(Cl)=C3)O[C@@]([H])([C@@H](O)[C@H](O)[C@H]1O)C(O)=O,[M+H]+,O=C1Nc2ccccc2C(c2ccccc2)=NC1O[C@H]1CCCCO1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
FIPWRIJSWJWJAI,CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,[M+NH4]+,c1ccc2c(c1)OCO2,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
FIQMHBFVRAXMOP,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,[M+H]+,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,True,False,WUR-DEV,12,ETE;WUR
FKLFBQCQQYDUAM,ClC1=CC=CC(C2=CNC=C2C#N)=C1Cl,[M+H]+,c1ccc(-c2cc[nH]c2)cc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
FKNXQNWAXFXVNW,CC[C@@H](NC(C)C)[C@@H](O)C1=CC=C(O)C2=C1C=CC(=O)N2,[M+H]+,O=c1ccc2ccccc2[nH]1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
FLEFKKUZMDEUIP,CS(=O)(=O)CC(=O)N1CC2(C1)OCC1=C2C=CC(=C1)C1=NO[C@@](C1)(C1=CC(Cl)=C(F)C(Cl)=C1)C(F)(F)F,[M+H]+,c1ccc(C2CC(c3ccc4c(c3)COC43CNC3)=NO2)cc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
FLUOSFVUPTUYEX,C[C@]1(O)C(=O)OCC2=CCN3CC[C@@H](OC(=O)C(=C)[C@H](C)[C@H]1C)[C@H]32,[M+H]+,C=C1CCCC(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,False,False,WUR-DEV,12,WFSR_food_safety;WUR
FMGSKLZLMKYGDP,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,[M+H]+,O=C1CC[C@@H]2C1CC[C@@H]1C3CCCCC3=CC[C@@H]21,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
FMGZEUWROYGLAY,COC(=O)C1=C(N(C)N=C1Cl)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1,[M+H]+,O=C(Nc1ncccn1)NS(=O)(=O)c1ccn[nH]1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
FMJYNECHJIZSCE,CCNC1=NC(C)=CC(OP(=S)(OC)OC)=N1,[M+H]+,c1cncnc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
FMWJEBGSMAOQNN,C[C@]1(O)C(=O)OCC2=CCN3CC[C@@H](OC(=O)[C@](O)(C[C@H]1C)[C@H](O)C)[C@H]32,[M+H]+,O=C1CCCCC(=O)O[C@@H]2CCN3CC=C(CO1)[C@H]23,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
FNCMBMZOZQAWJA,CNC(=O)OC1=CC(C)=C(C(C)=C1)S(C)=O,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
FOUWCSDKDDHKQP,FC1=CC2=C(C=C1N1C(=O)C3=C(CCCC3)C1=O)N(CC#C)C(=O)CO2,[M+H]+,O=C1COc2ccc(N3C(=O)C4=C(CCCC4)C3=O)cc2N1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
FOXFZRUHNHCZPX,CSC1=NN=C(C(=O)N1N)C(C)(C)C,[M+H]+,O=c1cnnc[nH]1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
FPQFYIAXQDXNOR,C[C@H]1CCC[C@@H](O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,[M+H]+,O=C1OCCCCCCCC/C=C/c2ccccc21,False,False,WUR-DEV,24,WFSR_food_safety;WUR
FQEQMASDZFXSJI,O=C1C=CC=C2[C@@H]3C[C@H](CN12)[C@@H]1CCCCN1C3,[M+H]+,O=c1cccc2n1C[C@H]1C[C@@H]2CN2CCCC[C@@H]12,False,False,WUR-SEALED,24,WFSR_food_safety;WUR
FQKUGOMFVDPBIZ,C[Si](CN1C=NC=N1)(C1=CC=C(F)C=C1)C1=CC=C(F)C=C1,[M+H]+,c1ccc([SiH](Cn2cncn2)c2ccccc2)cc1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
FQVNMXZPGWLUFZ,O=C(\C=C\c1ccc(O)cc1)OC[C@@H]1CCN2CCC[C@@H]21,[M+H]+,O=C(/C=C/c1ccccc1)OC[C@@H]1CCN2CCC[C@H]12,False,False,WUR-DEV,12,WFSR_food_safety;WUR
FQXXSQDCDRQNQE,COC1=CC=C2[C@H]3CC4=C5C(O[C@@H]1[C@@]25CCN3C)=C(OC)C=C4,[M+H]+,C1=C[C@@H]2Oc3cccc4c3[C@@]23CCN[C@H](C4)C3=C1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
FROBCXTULYFHEJ,C[C@@H](OC1=CC=C(OC2=NC3=C(C=C(Cl)C=C3)N=C2)C=C1)C(=O)OCCON=C(C)C,[M+H]+,c1ccc(Oc2cnc3ccccc3n2)cc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
FSAVDKDHPDSCTO,CCOP(=O)(OCC)OC(=CCl)C1=C(Cl)C=C(Cl)C=C1,[M+H]+,c1ccccc1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
FSVJFNAIGNNGKK,O=C(C1CCCCC1)N1CC2N(CCC3=C2C=CC=C3)C(=O)C1,[M+H]+,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
